Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic_Regression,0.7377049180327869,0.7096774193548387,0.7586206896551724,0.7333333333333333,0.8232758620689655
Random_Forest,0.8360655737704918,0.7878787878787878,0.896551724137931,0.8387096774193549,0.878771551724138
SVM,0.8032786885245902,0.7741935483870968,0.8275862068965517,0.8,0.8351293103448276
KNN,0.7049180327868853,0.6571428571428571,0.7931034482758621,0.71875,0.7936422413793103
Gradient_Boosting,0.8032786885245902,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.8405172413793104
Naive_Bayes,0.7868852459016393,0.75,0.8275862068965517,0.7868852459016393,0.8081896551724138
